Time;Monday ;28.09.;Tuesday ;29.09.;Wednesday ;30.09.;Thursday; 01.10.
09:00-9:45;Welcome Address;Organisers;Inclusivity in Science;Cassandra Gould van Prag;Research Ethics;Daniel Strech;Open Sociology;Johanna Gereke
break;;;;;;;;
10:00-10:45;Reproducibility;Laura Fortunato;Publication Bias;Dorothy Bishop;Open Publishing;Ruth Mallalieu;Meta-research;Benedikt Fecher
break;;;;;;;;
11:00-11:45;Public Open Science - Infrastructure for Psychology;Michael Bosnjak;Copyright, Open Licensing and Open Science;Till Kreutzer;Open Biomedicine;Uli Dirnagl;Citizen Science;Silke Voigt-Heucke
lunch;;;;;;;;
13:00-15:00;R for Beginners;Ulf Toelch;Data Management;Evgeny Bobrov;Reproducible R;Ulf Toelch;Visualisation;Tracey Weissgerber
;;;;;;;;
;Preregistration;Malika Ihle;Python for Beginners;Dirk Ostwald;Reproducible Python;Dirk Ostwald;Dialogue and participation in science - Experiences from the Museum f¸År Naturkunde ;Wiebke Rˆssig
;;;;;;;;
;Planning publication and dissemination;Jen de Beyer and Patricia Logullo;GIT Collaborations;Cassandra Gould van Praag;Reporting your methods and results;Michael Maia Schlussel;Spread the message - ECR Community Building;Verena Heise
;;;;;;;;
16:00-17:00;;;;;Keynote lecture: The Democratic Potential of Open Technologies;Michelle Christensen;;
